mot,frequence,categorie_suggestion (à remplir)
"engine",2896,
"water",2075,
"food & drink",1847,
"ambience",1835,
"button",1675,
"press",1598,
"people",1580,
"electronic",1575,
"vocal",1555,
"user",1553,
"slide",1533,
"power",1514,
"move",1467,
"transportation",1451,
"external",1448,
"tools",1435,
"kitchen",1429,
"metallic",1424,
"sports",1415,
"reverberant",1364,
"sequence",1343,
"weapons",1311,
"friction",1246,
"drive",1245,
"tool",1243,
"open",1231,
"vintage",1208,
"humanoid",1181,
"quick",1170,
"deep",1157,
"cloth",1157,
"scrape",1126,
"noise",1098,
"push",1094,
"switch",1093,
"audio visual",1086,
"tonal",1047,
"household",1043,
"monster",1037,
"ring",1033,
"clatter",1030,
"light",1028,
"handle",1021,
"big",1009,
"mid",996,
"internal",976,
"air",975,
"doors",951,
"fast decay",947,
"buzz",941,
"motor",939,
"guns",935,
"heavy",932,
"cartoon",920,
"game",907,
"handling",902,
"squeak",901,
"voices",899,
"rattling",893,
"turn",881,
"instrument",879,
"down",879,
"release",870,
"amusement",867,
"weapon",855,
"appliance",854,
"put",852,
"science fiction",843,
"very short",822,
"combat",820,
"exterior",816,
"male",813,
"rustle",813,
"retro",805,
"device",800,
"swooshes",788,
"work",762,
"drill",757,
"sport",751,
"up",746,
"pull",734,
"interior",726,
"shake",721,
"motion",711,
"digital",706,
"loud",700,
"animals",699,
"call",696,
"container",693,
"wet",691,
"dry",689,
"rustling",682,
"audience",681,
"abstract",680,
"ui",675,
"music",672,
"synthetic",665,
"rock",665,
"roller",663,
"ancient",662,
"about",658,
"hum",656,
"workshop",651,
"table",646,
"enable",646,
"disable",646,
"alert",643,
"shut",642,
"inside car",636,
"stone",631,
"debris",628,
"spring",625,
"reaction",625,
"applauding",625,
"instruments",623,
"leather",622,
"aircraft",618,
"modern",614,
"various instances",612,
"mechanics",606,
"science",602,
"pitch",597,
"stop",595,
"stereo",593,
"run",592,
"start",588,
"fiction",586,
"attack",581,
"cooking",580,
"spin",577,
"play",574,
"place",574,
"cinematic elements",572,
"sci fi",566,
"engineering",565,
"growl",562,
"shot",560,
"coaster",560,
"screech",544,
"medium fast decay",538,
"hand",536,
"closing",528,
"idle",528,
"vegetation",526,
"enabling",526,
"disabling",526,
"speed",525,
"shout",525,
"beast",523,
"cassette",521,
"food",520,
"tableware",513,
"female",512,
"man",508,
"clank",505,
"stringed",504,
"some",503,
"atmo",502,
"historical",502,
"take",499,
"roll",496,
"bag",490,
"rocks",488,
"offride",488,
"off",485,
"grind",485,
"equipment",482,
"hydraulic",482,
"gear",481,
"system",479,
"clattering",478,
"opening",477,
"industrial",477,
"zombie",477,
"cheering",476,
"aquatic",475,
"wooden",473,
"packaging",469,
"industry",467,
"burst",466,
"sliding",459,
"storage",458,
"male voice",457,
"crackle",453,
"ride",449,
"aggressive",446,
"average",445,
"park",440,
"reverb",437,
"5l tdi diesel",433,
"elements",432,
"player",430,
"on",428,
"lift",428,
"latch",427,
"inside",426,
"fun",426,
"lid",425,
"ringing",424,
"gore",424,
"mono",424,
"radio",422,
"shaking",418,
"wobble",415,
"bathroom",414,
"grab",414,
"sound",413,
"ground",413,
"woman",411,
"gym",410,
"swish",406,
"body",406,
"graphical",406,
"bright",401,
"box",401,
"out",395,
"express",395,
"moving",394,
"medieval",393,
"rail",393,
"case",393,
"plane",391,
"band",389,
"song & phrase",387,
"clothes",386,
"feedback",383,
"rifle",383,
"cook",381,
"clean",379,
"pass",379,
"tap",378,
"synth",378,
"passby",375,
"camera",375,
"ball",373,
"wheel",371,
"shooter",371,
"soviet",370,
"gaming",369,
"computers",368,
"emotion",367,
"toy",366,
"whip-panning",364,
"steady",363,
"clang",361,
"distorted",355,
"strike",355,
"photo",355,
"pipe",354,
"shoot",354,
"audio",354,
"fantasy",353,
"electricity",353,
"gentle",351,
"driving",351,
"chink",350,
"chains",349,
"fitness",341,
"turbine",339,
"in engine compartement",338,
"plate",337,
"drawer",336,
"building",335,
"outside",334,
"lever",334,
"note",333,
"sharp",331,
"liquid",329,
"strong",328,
"cut",328,
"military",327,
"scraping",326,
"flow",322,
"falling",318,
"jet",318,
"menu",318,
"hiss",317,
"armor",316,
"horn",315,
"accelerate",315,
"trains",314,
"mumbling",313,
"crowds",313,
"undead",312,
"whistle",311,
"site",311,
"auto",311,
"scratching",310,
"insect",306,
"external at exhaust",306,
"flutter",305,
"media",304,
"reverse",303,
"ice",303,
"tone",302,
"by",302,
"flyby",302,
"farm",302,
"stick",301,
"medium decay",299,
"bmw",297,
"tape",296,
"volkswagen",295,
"beat",293,
"1991 gasoline",293,
"dishes",292,
"suppressed",292,
"board",291,
"tree",291,
"effect",290,
"crash & debris",290,
"hifi",290,
"like",289,
"cutlery",289,
"mouse",289,
"tail",287,
"whistling",287,
"insert",286,
"telephone",284,
"clicking",284,
"ghoul",283,
"skeleton",283,
"fabric",282,
"games",282,
"mummy",282,
"rough",281,
"mouth",279,
"several",278,
"sci-fi",278,
"control",278,
"hall",278,
"drum",276,
"race",276,
"textile",274,
"turning",273,
"2007 gasoline",273,
"kitchenware",273,
"gas",271,
"squeaking",270,
"toys",270,
"intensity",269,
"clink",268,
"double",267,
"bounce",266,
"hollow",265,
"sci",265,
"cabinet",264,
"future",263,
"console",263,
"quiet",262,
"slowly",262,
"tiny",261,
"dining room",260,
"piece",257,
"roar",256,
"mechanic",256,
"groan",255,
"climb",255,
"pc",252,
"eating",252,
"string",251,
"floor",250,
"screaming",250,
"foliage",250,
"angry",249,
"close perspective",248,
"continuous",247,
"synthesized",247,
